image_id	project_id	thumbnail_url
9837354	idr0079	https://idr.openmicroscopy.org/webgateway/render_thumbnail/9837354/
10496304	idr0078	https://idr.openmicroscopy.org/webgateway/render_thumbnail/10496304/
9836841	idr0077	https://idr.openmicroscopy.org/webgateway/render_thumbnail/9836841/
10501759	idr0076	https://idr.openmicroscopy.org/webgateway/render_thumbnail/10501759/
9528933	idr0075	https://idr.openmicroscopy.org/webgateway/render_thumbnail/9528933/
9798438	idr0073	https://idr.openmicroscopy.org/webgateway/render_thumbnail/9798438/
12814262	idr0072	https://idr.openmicroscopy.org/webgateway/render_thumbnail/12814262/
12142871	idr0071	https://idr.openmicroscopy.org/webgateway/render_thumbnail/12142871/
9840230	idr0070	https://idr.openmicroscopy.org/webgateway/render_thumbnail/9840230/
8833072	idr0069	https://idr.openmicroscopy.org/webgateway/render_thumbnail/8833072/
13462847	idr0068	https://idr.openmicroscopy.org/webgateway/render_thumbnail/13462847/
9036345	idr0067	https://idr.openmicroscopy.org/webgateway/render_thumbnail/9036345/
8343616	idr0066	https://idr.openmicroscopy.org/webgateway/render_thumbnail/8343616/
9035363	idr0065	https://idr.openmicroscopy.org/webgateway/render_thumbnail/9035363/
9822058	idr0064	https://idr.openmicroscopy.org/webgateway/render_thumbnail/9822058/
12922261	idr0063	https://idr.openmicroscopy.org/webgateway/render_thumbnail/12922261/
6001240	idr0062	https://idr.openmicroscopy.org/webgateway/render_thumbnail/6001240/
6001463	idr0061	https://idr.openmicroscopy.org/webgateway/render_thumbnail/6001463/
9753804	idr0056	https://idr.openmicroscopy.org/webgateway/render_thumbnail/9753804/
5025551	idr0054	https://idr.openmicroscopy.org/webgateway/render_thumbnail/5025551/
4495402	idr0053	https://idr.openmicroscopy.org/webgateway/render_thumbnail/4495402/
5514131	idr0052	https://idr.openmicroscopy.org/webgateway/render_thumbnail/5514131/
4007817	idr0051	https://idr.openmicroscopy.org/webgateway/render_thumbnail/4007817/
4995115	idr0050	https://idr.openmicroscopy.org/webgateway/render_thumbnail/4995115/
9846152	idr0048	https://idr.openmicroscopy.org/webgateway/render_thumbnail/9846152/
4498386	idr0047	https://idr.openmicroscopy.org/webgateway/render_thumbnail/4498386/
3509480	idr0045	https://idr.openmicroscopy.org/webgateway/render_thumbnail/3509480/
4007802	idr0044	https://idr.openmicroscopy.org/webgateway/render_thumbnail/4007802/
13384350	idr0043	https://idr.openmicroscopy.org/webgateway/render_thumbnail/13384350/
3428080	idr0042	https://idr.openmicroscopy.org/webgateway/render_thumbnail/3428080/
3489996	idr0041	https://idr.openmicroscopy.org/webgateway/render_thumbnail/3489996/
3491629	idr0040	https://idr.openmicroscopy.org/webgateway/render_thumbnail/3491629/
3414085	idr0038	https://idr.openmicroscopy.org/webgateway/render_thumbnail/3414085/
4996009	idr0037	https://idr.openmicroscopy.org/webgateway/render_thumbnail/4996009/
1896580	idr0036	https://idr.openmicroscopy.org/webgateway/render_thumbnail/1896580/
3414398	idr0035	https://idr.openmicroscopy.org/webgateway/render_thumbnail/3414398/
3262540	idr0034	https://idr.openmicroscopy.org/webgateway/render_thumbnail/3262540/
3191907	idr0033	https://idr.openmicroscopy.org/webgateway/render_thumbnail/3191907/
3125701	idr0032	https://idr.openmicroscopy.org/webgateway/render_thumbnail/3125701/
3137952	idr0030	https://idr.openmicroscopy.org/webgateway/render_thumbnail/3137952/
3005373	idr0028	https://idr.openmicroscopy.org/webgateway/render_thumbnail/3005373/
2858229	idr0027	https://idr.openmicroscopy.org/webgateway/render_thumbnail/2858229/
3261662	idr0026	https://idr.openmicroscopy.org/webgateway/render_thumbnail/3261662/
3260524	idr0025	https://idr.openmicroscopy.org/webgateway/render_thumbnail/3260524/
1885643	idr0023	https://idr.openmicroscopy.org/webgateway/render_thumbnail/1885643/
7948817	idr0022	https://idr.openmicroscopy.org/webgateway/render_thumbnail/7948817/
1884913	idr0021	https://idr.openmicroscopy.org/webgateway/render_thumbnail/1884913/
1911858	idr0020	https://idr.openmicroscopy.org/webgateway/render_thumbnail/1911858/
1851832	idr0019	https://idr.openmicroscopy.org/webgateway/render_thumbnail/1851832/
1920105	idr0018	https://idr.openmicroscopy.org/webgateway/render_thumbnail/1920105/
1755287	idr0017	https://idr.openmicroscopy.org/webgateway/render_thumbnail/1755287/
2044489	idr0016	https://idr.openmicroscopy.org/webgateway/render_thumbnail/2044489/
1845698	idr0015	https://idr.openmicroscopy.org/webgateway/render_thumbnail/1845698/
2865040	idr0013	https://idr.openmicroscopy.org/webgateway/render_thumbnail/2865040/
1811590	idr0012	https://idr.openmicroscopy.org/webgateway/render_thumbnail/1811590/
2857890	idr0011	https://idr.openmicroscopy.org/webgateway/render_thumbnail/2857890/
1921258	idr0010	https://idr.openmicroscopy.org/webgateway/render_thumbnail/1921258/
1313778	idr0009	https://idr.openmicroscopy.org/webgateway/render_thumbnail/1313778/
106959	idr0008	https://idr.openmicroscopy.org/webgateway/render_thumbnail/106959/
96901	idr0007	https://idr.openmicroscopy.org/webgateway/render_thumbnail/96901/
353185	idr0006	https://idr.openmicroscopy.org/webgateway/render_thumbnail/353185/
930626	idr0005	https://idr.openmicroscopy.org/webgateway/render_thumbnail/930626/
719331	idr0004	https://idr.openmicroscopy.org/webgateway/render_thumbnail/719331/
16255	idr0003	https://idr.openmicroscopy.org/webgateway/render_thumbnail/16255/
223948	idr0002	https://idr.openmicroscopy.org/webgateway/render_thumbnail/223948/
1230459	idr0001	https://idr.openmicroscopy.org/webgateway/render_thumbnail/1230459/
